date,open,high,low,close
2014-09-17,465.86401399999994,468.174011,452.421997,457.334015
2014-09-18,456.85998499999994,456.85998499999994,413.10400400000003,424.44000199999994
2014-09-19,424.10299699999996,427.834991,384.532013,394.79599
2014-09-20,394.673004,423.29599,389.882996,408.903992
2014-09-21,408.084991,412.425995,393.181,398.821014
2014-09-22,399.100006,406.91598500000003,397.130005,402.152008
2014-09-23,402.09201,441.55700700000006,396.196991,435.790985
2014-09-24,435.751007,436.11199999999997,421.131989,423.204987
2014-09-25,423.15600599999993,423.51998899999995,409.467987,411.574005
2014-09-26,411.428986,414.93798799999996,400.009003,404.424988
2014-09-27,403.556,406.62298599999997,397.372009,399.519989
2014-09-28,399.471008,401.016998,374.332001,377.181
2014-09-29,376.928009,385.210999,372.23999,375.46701
2014-09-30,376.088013,390.97699,373.442993,386.944
2014-10-01,387.427002,391.378998,380.77999900000003,383.61499
2014-10-02,383.988007,385.497009,372.946014,375.071991
2014-10-03,375.181,377.695007,357.85900899999996,359.511993
2014-10-04,359.891998,364.48699999999997,325.885986,328.865997
2014-10-05,328.91598500000003,341.800995,289.29599,320.51001
2014-10-06,320.389008,345.134003,302.559998,330.07901
2014-10-07,330.58401499999997,339.247009,320.48199500000004,336.18701200000004
2014-10-08,336.115997,354.364014,327.18798799999996,352.940002
2014-10-09,352.74798599999997,382.72601299999997,347.68701200000004,365.02600099999995
2014-10-10,364.68701200000004,375.066986,352.963013,361.56201200000004
2014-10-11,361.36199999999997,367.19101,355.950989,362.299011
2014-10-12,362.60598799999997,379.433014,356.14401200000003,378.549011
2014-10-13,377.92099,397.22601299999997,368.897003,390.414001
2014-10-14,391.691986,411.697998,391.324005,400.869995
2014-10-15,400.954987,402.22699,388.76599100000004,394.77301
2014-10-16,394.51800499999996,398.807007,373.070007,382.556
2014-10-17,382.756012,385.477997,375.389008,383.757996
2014-10-18,383.97601299999997,395.15799,378.971008,391.441986
2014-10-19,391.253998,393.93899500000003,386.457001,389.54599
2014-10-20,389.23098799999997,390.08401499999997,378.25201400000003,382.84500099999997
2014-10-21,382.42099,392.64599599999997,380.83401499999997,386.475006
2014-10-22,386.11801099999997,388.575989,382.24899300000004,383.15799
2014-10-23,382.96200600000003,385.048004,356.446991,358.416992
2014-10-24,358.591003,364.34500099999997,353.304993,358.34500099999997
2014-10-25,358.610992,359.860992,342.87701400000003,347.27099599999997
2014-10-26,347.48699999999997,359.221008,343.931,354.70401
2014-10-27,354.777008,358.63198900000003,349.80899,352.989014
2014-10-28,353.214996,359.98400899999996,352.678986,357.61801099999997
2014-10-29,357.088989,357.833008,335.342987,335.591003
2014-10-30,335.70901499999997,350.91299399999997,335.071991,345.304993
2014-10-31,345.009003,348.045013,337.141998,338.321014
2014-11-01,338.649994,340.528992,321.054993,325.74899300000004
2014-11-02,326.075012,329.049988,320.62600699999996,325.891998
2014-11-03,325.569,334.00201400000003,325.48098799999997,327.553986
2014-11-04,327.161011,331.766998,325.076996,330.492004
2014-11-05,330.683014,343.368988,330.683014,339.485992
2014-11-06,339.458008,352.966003,338.424011,349.290009
2014-11-07,349.817993,352.73199500000004,341.77600099999995,342.415009
2014-11-08,342.153992,347.032013,342.153992,345.488007
2014-11-09,345.37600699999996,363.62600699999996,344.255005,363.264008
2014-11-10,362.265015,374.81601,357.56100499999997,366.924011
2014-11-11,365.85699500000004,371.309998,363.734985,367.695007
2014-11-12,367.984985,429.717987,367.984985,423.56100499999997
2014-11-13,427.27300999999994,457.092987,401.12298599999997,420.73498499999994
2014-11-14,418.416992,419.25201400000003,384.789001,397.817993
2014-11-15,399.649994,405.528015,371.007996,376.132996
2014-11-16,374.730011,390.799011,374.60199,387.88198900000003
2014-11-17,388.34899900000005,410.199005,377.50201400000003,387.40799
2014-11-18,387.785004,392.402008,371.117004,375.197998
2014-11-19,373.89599599999997,386.48098799999997,373.89599599999997,380.554993
2014-11-20,380.307007,382.024994,356.781006,357.839996
2014-11-21,357.878998,357.878998,344.11199999999997,350.847992
2014-11-22,351.60400400000003,364.841003,350.877991,352.920013
2014-11-23,353.174988,370.84500099999997,353.174988,367.572998
2014-11-24,366.947998,387.20901499999997,366.669006,376.90100099999995
2014-11-25,376.885986,394.700989,374.783997,375.347992
2014-11-26,376.01901200000003,377.697998,365.81601,368.369995
